,Date,Open,High,Low,Close,Adj Close,Volumn
820,2017-12-27,225.00,226.00,225.00,225.00,193.56,"12,515,245"
819,2017-12-28,226.50,228.00,225.00,226.00,194.42,"24,304,371"
818,2017-12-29,227.50,230.00,226.50,229.50,197.43,"25,007,443"
936,2018-01-02,231.50,232.50,231.00,232.50,200.01,"18,055,269"
935,2018-01-03,236.00,238.00,235.50,237.00,203.88,"29,308,091"
934,2018-01-04,240.00,240.00,236.50,239.50,206.03,"29,096,613"
933,2018-01-05,240.00,240.00,238.00,240.00,206.46,"22,438,255"
932,2018-01-08,242.00,242.50,240.50,242.00,208.18,"20,233,692"
931,2018-01-09,242.00,242.00,239.50,242.00,208.18,"19,043,123"
930,2018-01-10,241.50,242.00,236.00,236.50,203.45,"23,631,220"
929,2018-01-11,235.00,236.00,232.50,235.00,202.16,"30,446,338"
928,2018-01-12,234.50,238.00,233.50,237.00,203.88,"21,513,291"
927,2018-01-15,240.00,240.00,238.00,240.00,206.46,"27,476,533"
926,2018-01-16,240.00,240.50,238.00,240.50,206.89,"21,691,632"
925,2018-01-17,240.50,243.00,239.00,242.00,208.18,"38,046,119"
924,2018-01-18,245.00,250.00,245.00,248.50,213.77,"49,896,952"
923,2018-01-19,253.50,255.50,251.50,255.50,219.80,"50,549,292"
922,2018-01-22,257.50,262.00,257.00,261.50,224.96,"43,400,509"
921,2018-01-23,262.50,266.00,262.50,266.00,228.83,"33,527,444"
920,2018-01-24,263.00,263.00,256.50,258.00,221.95,"41,874,813"
919,2018-01-25,258.00,264.00,256.50,258.00,221.95,"44,643,756"
918,2018-01-26,256.50,257.50,253.50,255.00,219.36,"39,555,523"
917,2018-01-29,259.00,261.50,255.00,258.50,222.38,"30,071,234"
916,2018-01-30,256.00,257.50,252.50,253.00,217.64,"36,860,591"
915,2018-01-31,253.00,257.50,252.00,255.00,219.36,"44,136,808"
914,2018-02-01,257.50,261.00,257.00,259.50,223.24,"30,559,457"
913,2018-02-02,259.00,260.00,255.00,259.50,223.24,"25,707,560"
912,2018-02-05,251.00,254.50,250.50,253.00,217.64,"45,594,379"
911,2018-02-06,242.50,243.50,234.00,239.00,205.60,"102,409,048"
910,2018-02-07,245.00,245.50,239.50,240.00,206.46,"80,063,178"
909,2018-02-08,239.50,242.00,238.00,238.50,205.17,"30,989,550"
908,2018-02-09,230.00,233.00,228.50,232.50,200.01,"65,735,265"
907,2018-02-12,235.50,237.50,235.00,236.50,203.45,"35,635,236"
906,2018-02-21,244.50,244.50,242.00,242.50,208.61,"71,504,174"
905,2018-02-22,244.00,244.00,239.00,239.50,206.03,"39,239,993"
904,2018-02-23,241.00,245.00,241.00,245.00,210.76,"26,985,776"
903,2018-02-26,247.00,247.50,245.00,246.50,212.05,"35,901,810"
902,2018-02-27,250.50,250.50,246.00,246.00,211.62,"40,818,119"
901,2018-03-01,244.00,245.00,242.00,243.00,209.04,"39,719,984"
900,2018-03-02,240.00,241.00,238.50,240.00,206.46,"35,139,170"
899,2018-03-05,242.50,243.00,240.50,241.50,207.75,"27,337,846"
898,2018-03-06,245.50,250.00,245.50,250.00,215.06,"34,890,780"
897,2018-03-07,248.00,248.50,246.00,247.00,212.48,"30,391,219"
896,2018-03-08,249.50,251.50,249.00,249.50,214.63,"20,645,694"
895,2018-03-09,250.00,251.00,248.50,250.50,215.49,"19,831,063"
894,2018-03-12,252.00,255.00,251.50,254.00,218.50,"24,492,615"
893,2018-03-13,255.50,259.00,255.00,259.00,222.81,"33,756,883"
892,2018-03-14,256.50,257.50,255.50,257.00,221.09,"23,772,838"
891,2018-03-15,258.00,258.00,255.00,255.00,219.36,"19,396,493"
890,2018-03-16,253.00,256.00,249.50,255.00,219.36,"62,929,326"
889,2018-03-19,252.50,255.50,251.00,255.00,219.36,"21,440,766"
888,2018-03-20,253.00,254.00,251.50,253.00,217.64,"21,840,151"
887,2018-03-21,255.00,255.00,251.00,252.50,217.21,"28,976,737"
886,2018-03-22,254.50,254.50,249.50,251.50,216.35,"27,000,668"
885,2018-03-23,245.00,247.00,244.00,245.00,210.76,"52,498,390"
884,2018-03-26,241.50,244.50,241.50,243.50,209.47,"36,987,945"
883,2018-03-27,248.00,251.00,247.00,251.00,215.92,"31,008,260"
882,2018-03-28,247.50,248.00,244.00,245.00,210.76,"29,637,411"
881,2018-03-29,243.00,247.00,242.50,244.00,209.90,"36,165,345"
880,2018-03-30,247.50,249.50,246.00,246.00,211.62,"16,996,346"
996,2018-04-02,248.50,249.00,245.00,246.50,212.05,"17,696,003"
995,2018-04-03,243.00,244.50,242.00,244.00,209.90,"35,813,944"
994,2018-04-09,248.00,248.00,243.50,245.00,210.76,"34,694,824"
